CH 3
8
12
11
13
12
11
11
13
11
8
8
9
12
9
11
10
10
11
8
14
9
15
11
7
12
14
11
13
4
11
9
13
15
7
10
14
10
12
14
6
13
16
8
10
10
12
4
12
9
9
8
7
13
16
8
12
12
14
8
11
9
5
12
9
13
7
14
9
16
5
16
6
10
9
14
10
9
11
3
9
11
11
15
12
6
9
8
11
15
12
12
9
10
10
9
9
9
13
14
7
12
17
7
8
10
7
9
14
12
10
14
11
21
6
11
8
6
9
9
15
6
10
10
18
12
10
9
12
11
12
18
10
6
8
11
10
19
14
7
7
12
9
5
15
11
13
9
13
9
16
17
10
7
12
7
14
16
8
8
8
13
5
6
19
8
12
12
10
12
14
8
15
12
8
13
4
8
8
12
7
12
9
11
10
7
11
16
7
19
18
14
10
9
9
9
11
15
10
7
8
