CH 1
10
5
17
13
12
15
9
13
14
9
10
13
5
8
12
5
9
9
11
12
8
7
8
6
12
10
11
10
6
10
13
6
20
4
14
8
11
13
17
9
12
6
15
5
11
11
9
11
9
9
9
7
13
9
9
20
9
5
10
12
13
7
15
11
6
8
13
11
9
10
8
5
16
12
14
15
13
13
11
9
6
7
10
11
8
9
11
10
8
7
8
12
14
8
9
6
12
12
11
11
7
17
9
14
10
8
5
10
16
10
10
9
13
10
9
10
11
12
11
11
16
11
9
8
3
11
6
9
20
10
9
10
9
10
13
6
12
17
10
10
10
6
15
12
9
13
8
16
8
9
10
10
10
13
10
7
7
10
12
5
9
8
7
7
11
6
21
18
14
15
13
12
5
7
14
9
9
12
9
12
12
8
16
10
10
8
9
9
16
13
14
11
10
11
8
8
7
10
7
10
